"codigo","municipio","estado","categ","long","lat","alt"
4301875,BARRA DO QUARAÍ,RIO GRANDE DO SUL,VILA,-57.2288432339572,-30.0142235696681,87.749511
4322400,URUGUAIANA,RIO GRANDE DO SUL,POVOADO,-56.813506393567,-29.5394755331665,64.974141
4315305,QUARAÍ,RIO GRANDE DO SUL,CIDADE,-56.4536470403836,-30.3828679608813,118.674261
4317103,SANT'ANA DO LIVRAMENTO,RIO GRANDE DO SUL,POVOADO,-55.1289873430462,-30.5133124151825,165.817506
4310603,ITAQUI,RIO GRANDE DO SUL,VILA,-55.7643097019299,-29.2252255892341,131.266689
4300406,ALEGRETE,RIO GRANDE DO SUL,VILA,-55.5397383098353,-29.6799861556743,95.256113
4311718,MAÇAMBARÁ,RIO GRANDE DO SUL,POVOADO,-56.0335420080395,-29.1470356196023,108.085156
4305439,CHUÍ,RIO GRANDE DO SUL,CIDADE,-53.4626751416843,-33.6875668687297,21.227314
4317301,SANTA VITÓRIA DO PALMAR,RIO GRANDE DO SUL,AUI,-53.2526798465357,-33.6571338957918,2.465202
4311007,JAGUARÃO,RIO GRANDE DO SUL,NÚCLEO,-53.0648012568544,-32.5063183095296,6.205357
4300034,ACEGUÁ,RIO GRANDE DO SUL,VILA,-54.0666496370573,-31.6569687903219,157.874705
4301602,BAGÉ,RIO GRANDE DO SUL,VILA,-53.6734877741673,-30.9330212150596,228.932673
4309654,HULHA NEGRA,RIO GRANDE DO SUL,CIDADE,-53.8678247940087,-31.4050982483871,194.573242
4304358,CANDIOTA,RIO GRANDE DO SUL,POVOADO,-53.6824931689875,-31.4770100968019,211.58398
4307104,HERVAL,RIO GRANDE DO SUL,VILA,-53.0200020147177,-31.8754887327547,60.587953
4301305,ARROIO GRANDE,RIO GRANDE DO SUL,NÚCLEO,-52.6563061281386,-32.0087062251678,26.012665
4314175,PEDRAS ALTAS,RIO GRANDE DO SUL,VILA,-53.7578514604236,-31.8546216724386,167.838854
4314506,PINHEIRO MACHADO,RIO GRANDE DO SUL,VILA,-53.5005889512995,-31.3158142034064,416.713445
4314605,PIRATINI,RIO GRANDE DO SUL,CIDADE,-53.1047344539721,-31.4441124733536,337.446317
4316402,ROSÁRIO DO SUL,RIO GRANDE DO SUL,AUI,-54.8885145406949,-30.2627428246124,93.085222
4306601,DOM PEDRITO,RIO GRANDE DO SUL,VILA,-54.1850786786686,-31.028089984217,389.90544
4318309,SÃO GABRIEL,RIO GRANDE DO SUL,AUI,-54.2635028421613,-30.3484147056709,142.921767
4311759,MANOEL VIANA,RIO GRANDE DO SUL,VILA,-55.4816539041251,-29.2037653618328,104.506609
4318101,SÃO FRANCISCO DE ASSIS,RIO GRANDE DO SUL,VILA,-54.9328960671868,-29.4682856942532,194.72578
4322376,UNISTALDA,RIO GRANDE DO SUL,CIDADE,-55.1507805181379,-29.0474850255841,357.847771
4302907,CACEQUI,RIO GRANDE DO SUL,POVOADO,-54.9575903097974,-29.9352299719616,109.782966
