num_item,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
1,São Paulo,3550308,2020-02-25,202009,12325232,12252023,False,False,1,0.00811,2020-02-25,0.0000,0,1,city,SP,1,0
2,,35,2020-02-25,202009,46289333,45919049,False,False,1,0.00216,2020-02-25,0.0000,0,1,state,SP,1,0
3,São Paulo,3550308,2020-02-26,202009,12325232,12252023,False,False,1,0.00811,2020-02-26,0.0000,0,2,city,SP,0,0
4,,35,2020-02-26,202009,46289333,45919049,False,False,1,0.00216,2020-02-26,0.0000,0,2,state,SP,0,0
5,São Paulo,3550308,2020-02-27,202009,12325232,12252023,False,False,1,0.00811,2020-02-27,0.0000,0,3,city,SP,0,0
6,,35,2020-02-27,202009,46289333,45919049,False,False,1,0.00216,2020-02-27,0.0000,0,3,state,SP,0,0
7,São Paulo,3550308,2020-02-28,202009,12325232,12252023,False,False,2,0.01623,2020-02-28,0.0000,0,4,city,SP,1,0
8,,35,2020-02-28,202009,46289333,45919049,False,False,2,0.00432,2020-02-28,0.0000,0,4,state,SP,1,0
9,São Paulo,3550308,2020-02-29,202009,12325232,12252023,False,False,2,0.01623,2020-02-29,0.0000,0,5,city,SP,0,0
10,,35,2020-02-29,202009,46289333,45919049,False,False,2,0.00432,2020-02-29,0.0000,0,5,state,SP,0,0
11,São Paulo,3550308,2020-03-01,202010,12325232,12252023,False,False,2,0.01623,2020-03-01,0.0000,0,6,city,SP,0,0
12,,35,2020-03-01,202010,46289333,45919049,False,False,2,0.00432,2020-03-01,0.0000,0,6,state,SP,0,0
13,São Paulo,3550308,2020-03-02,202010,12325232,12252023,False,False,2,0.01623,2020-03-02,0.0000,0,7,city,SP,0,0
14,,35,2020-03-02,202010,46289333,45919049,False,False,2,0.00432,2020-03-02,0.0000,0,7,state,SP,0,0
15,São Paulo,3550308,2020-03-03,202010,12325232,12252023,False,False,2,0.01623,2020-03-03,0.0000,0,8,city,SP,0,0
16,,35,2020-03-03,202010,46289333,45919049,False,False,2,0.00432,2020-03-03,0.0000,0,8,state,SP,0,0
17,São Paulo,3550308,2020-03-04,202010,12325232,12252023,False,False,3,0.02434,2020-03-04,0.0000,0,9,city,SP,1,0
18,,35,2020-03-04,202010,46289333,45919049,False,False,3,0.00648,2020-03-04,0.0000,0,9,state,SP,1,0
19,,32,2020-03-05,202010,4064052,4018650,False,False,1,0.02461,2020-03-05,0.0000,0,1,state,ES,1,0
20,Barra Mansa,3300407,2020-03-05,202010,184833,184412,False,False,1,0.54103,2020-03-05,0.0000,0,1,city,RJ,1,0
21,,33,2020-03-05,202010,17366189,17264943,False,False,1,0.00576,2020-03-05,0.0000,0,1,state,RJ,1,0
22,São Paulo,3550308,2020-03-05,202010,12325232,12252023,False,False,6,0.04868,2020-03-05,0.0000,0,10,city,SP,3,0
23,,35,2020-03-05,202010,46289333,45919049,False,False,6,0.01296,2020-03-05,0.0000,0,10,state,SP,3,0
24,Feira de Santana,2910800,2020-03-06,202010,619609,614872,False,False,1,0.16139,2020-03-06,0.0000,0,1,city,BA,1,0
25,,29,2020-03-06,202010,14930634,14873064,False,False,1,0.00670,2020-03-06,0.0000,0,1,state,BA,1,0
26,,32,2020-03-06,202010,4064052,4018650,False,False,1,0.02461,2020-03-06,0.0000,0,2,state,ES,0,0
27,Barra Mansa,3300407,2020-03-06,202010,184833,184412,False,False,1,0.54103,2020-03-06,0.0000,0,2,city,RJ,0,0
28,Rio de Janeiro,3304557,2020-03-06,202010,6747815,6718903,False,False,1,0.01482,2020-03-06,0.0000,0,1,city,RJ,1,0
29,,33,2020-03-06,202010,17366189,17264943,False,False,2,0.01152,2020-03-06,0.0000,0,2,state,RJ,1,0
30,São Paulo,3550308,2020-03-06,202010,12325232,12252023,False,True,6,0.04868,2020-03-05,0.0000,0,11,city,SP,0,0
31,,35,2020-03-06,202010,46289333,45919049,False,False,10,0.02160,2020-03-06,0.0000,0,11,state,SP,4,0
32,Feira de Santana,2910800,2020-03-07,202010,619609,614872,False,False,2,0.32278,2020-03-07,0.0000,0,2,city,BA,1,0
33,,29,2020-03-07,202010,14930634,14873064,False,False,2,0.01340,2020-03-07,0.0000,0,2,state,BA,1,0
34,Brasília,5300108,2020-03-07,202010,3055149,3015268,False,False,1,0.03273,2020-03-07,0.0000,0,1,city,DF,1,0
35,,53,2020-03-07,202010,3055149,3015268,False,False,1,0.03273,2020-03-07,0.0000,0,1,state,DF,1,0
36,,32,2020-03-07,202010,4064052,4018650,False,False,1,0.02461,2020-03-07,0.0000,0,3,state,ES,0,0
37,Barra Mansa,3300407,2020-03-07,202010,184833,184412,False,True,1,0.54103,2020-03-06,0.0000,0,3,city,RJ,0,0
38,Rio de Janeiro,3304557,2020-03-07,202010,6747815,6718903,False,True,1,0.01482,2020-03-06,0.0000,0,2,city,RJ,0,0
39,,33,2020-03-07,202010,17366189,17264943,False,True,2,0.01152,2020-03-06,0.0000,0,3,state,RJ,0,0
40,Santana de Parnaíba,3547304,2020-03-07,202010,142301,139447,False,False,1,0.70274,2020-03-07,0.0000,0,1,city,SP,1,0
41,São Paulo,3550308,2020-03-07,202010,12325232,12252023,False,False,12,0.09736,2020-03-07,0.0000,0,12,city,SP,6,0
42,,35,2020-03-07,202010,46289333,45919049,False,False,13,0.02808,2020-03-07,0.0000,0,12,state,SP,3,0
43,Maceió,2704302,2020-03-08,202011,1025360,1018948,False,False,1,0.09753,2020-03-08,0.0000,0,1,city,AL,1,0
44,,27,2020-03-08,202011,3351543,3337357,False,False,1,0.02984,2020-03-08,0.0000,0,1,state,AL,1,0
45,Feira de Santana,2910800,2020-03-08,202011,619609,614872,False,True,2,0.32278,2020-03-07,0.0000,0,3,city,BA,0,0
46,,29,2020-03-08,202011,14930634,14873064,False,True,2,0.01340,2020-03-07,0.0000,0,3,state,BA,0,0
47,Brasília,5300108,2020-03-08,202011,3055149,3015268,False,False,1,0.03273,2020-03-08,0.0000,0,2,city,DF,0,0
48,,53,2020-03-08,202011,3055149,3015268,False,False,1,0.03273,2020-03-08,0.0000,0,2,state,DF,0,0
49,,32,2020-03-08,202011,4064052,4018650,False,False,1,0.02461,2020-03-08,0.0000,0,4,state,ES,0,0
